From Priscilla Fowler Fine Art,David Baird,Reaping the Whirlwind 3,2020,Acrylic/mixed media,7 × 5 in,2020,215
Available for sale from Priscilla Fowler Fine Art,David Baird,What He Has Bent #9,2020,Mixed media monotype,22 × 15 in,2020,1200
From Priscilla Fowler Fine Art,Trevor Ganske,544 E Canosa Way,2020,"Acrylic, mirror, and wood stain on wood panel",11 × 22 in,2020,350
Available for sale from Priscilla Fowler Fine Art,David Baird,What He Has Bent #6,2020,Mixed media monotype,22 × 15 in,2020,1200
From Priscilla Fowler Fine Art,Maia Mack,Eliana,2017,Watercolor and colored sharpie pens,9 × 12 in,,
From Priscilla Fowler Fine Art,Dennis Galloway,"Waterville, WA",2014,Pigment inks on acid-free mat paper with a slight warm tone,12 × 16 in,2014,325
Available for sale from Priscilla Fowler Fine Art,Miss Julia Grey,Maybe Rain,2019,Antropomorphic Photo Illustration (API),24 × 19 in,2019,300
From Priscilla Fowler Fine Art,Maia Mack,Zahara,2017,Watercolor and colored sharpie pens,9 × 12 in,,
From Priscilla Fowler Fine Art,Wade Schuster,Blue Angel,2017,Oil on stretched canvas,36 × 36 in,2017,1300
Available for sale from Priscilla Fowler Fine Art,Darien Fernandez,Swaggy Squirrel,2021,Printed on white jersey,12 × 8 in,2021,40
From Priscilla Fowler Fine Art,David Baird,Reaping the Whirlwind 1,2020,Acrylic/mixed media,7 × 5 in,2020,215
From Priscilla Fowler Fine Art,Ken Farkash,Happy Days Ahead,2019,Enamel and steel on wood panel,8 × 10 in,2019,225
Available for sale from Priscilla Fowler Fine Art,David Baird,Shields (set of 9),2020,Mixed media on paper,17 × 13 in,2020,215
From Priscilla Fowler Fine Art,Maia Mack,Lili,2017,Watercolor and colored sharpie pens,9 × 12 in,,
From Priscilla Fowler Fine Art,Hayden Senter,Sink or Swim,2016,Graphite,22 × 30 in,2016,400
From Priscilla Fowler Fine Art,Darien Fernandez,When in Riverside,2020,Spray paint stencil and oil on canvas,16 × 20 in,2020,450
From Priscilla Fowler Fine Art,Maia Mack,Aniiya,2017,Watercolor and colored sharpie pens,9 × 12 in,,
From Priscilla Fowler Fine Art,David Baird,Reaping the Whirlwind 6,2020,Acrylic/mixed media,7 × 5 in,2020,215
From Priscilla Fowler Fine Art,Wade Schuster,Hambur Cancun,2018,Oil on cradled panel,12 × 12 in,2018,400
From Priscilla Fowler Fine Art,Frederic Bonin Pissarro,Bat Man,2019,Mixed Media on Panel,16 × 16 in,2019,525
From Priscilla Fowler Fine Art,Wade Schuster,Denny's,2018,Oil on cradled panel,11 × 14 in,2018,400
From Priscilla Fowler Fine Art,Maia Mack,Azalea ,2017,Watercolor and colored sharpie pens,9 × 12 in,,
From Priscilla Fowler Fine Art,Ken Farkash,Halo Halo,2019,Enamel and steel on wood panel,10 × 8 in,2019,225
From Priscilla Fowler Fine Art,Maia Mack,Ramona,2017,Watercolor and colored sharpie pens,9 × 12 in,,
From Priscilla Fowler Fine Art,Maia Mack,Ignacio,2017,Watercolor and colored sharpie pens,9 × 12 in,,
From Priscilla Fowler Fine Art,Katie Klemp,California Poppies,2020,Acrylic,30 × 30 in,2020,1350
From Priscilla Fowler Fine Art,Julie Tarsha,Dancing on the Patio,2020,Mixed media,14 × 11 in,2020,575
From Priscilla Fowler Fine Art,Ruben Permel,Alone in the Universe 2,2020,Acrylic with collage on canvas,12 × 12 in,2020,150
From Priscilla Fowler Fine Art,Brian Hoover,The Rorschach Sisters,2013,Oil on canvas,36 × 24 in,2013,2000
From Priscilla Fowler Fine Art,Maia Mack,Fergie,2017,Watercolor and colored sharpie pens,9 × 12 in,,
From Priscilla Fowler Fine Art,Ruben Permel,Alone in the Universe 3,2020,Acrylic collage on canvas,12 × 12 in,2020,300
Available for sale from Priscilla Fowler Fine Art,Darien Fernandez,Reseller Rat,2021,Printed on white jersey,12 × 8 in,2021,40
From Priscilla Fowler Fine Art,Wade Schuster,Remnants of Time,2020,Oil on canvas,24 × 24 in,2020,800
From Priscilla Fowler Fine Art,Hayden Senter,In Reliance,2017,Graphite,8 × 6 in,2017,150
From Priscilla Fowler Fine Art,Maia Mack,Diego,2017,Watercolor and colored sharpie pens,9 × 12 in,,
From Priscilla Fowler Fine Art,Katie Klemp,First Day,2020,Acrylic,11 × 15 in,2020,250
From Priscilla Fowler Fine Art,Maia Mack,Mayra,2017,Watercolor and colored sharpie pens,9 × 12 in,,
From Priscilla Fowler Fine Art,Frederic Bonin Pissarro,Speaking Only Soft Words,2019,Mixed Media on Canvas,24 × 24 in,2019,1080
From Priscilla Fowler Fine Art,Julie Tarsha,Life Decisions,2021,Mixed media,14 × 11 in,2021,675
From Priscilla Fowler Fine Art,Frederic Bonin Pissarro,Native Bird,2019,Mixed Media on Canvas,36 × 36 in,2019,1875
From Priscilla Fowler Fine Art,Maia Mack,Jesus,2017,Watercolor and colored sharpie pens,9 × 12 in,,
From Priscilla Fowler Fine Art,Frederic Bonin Pissarro,Words of Widsom #4,2019,Mixed Media on Canvas,36 × 36 in,2019,1875
From Priscilla Fowler Fine Art,Maia Mack,Lauren,2017,Watercolor and colored sharpie pens,9 × 12 in,,
Available for sale from Priscilla Fowler Fine Art,Priscilla Fowler,Red Duo II,2015,Ink and Acrylic on Mylar,24 × 36 in,2015,1500
From Priscilla Fowler Fine Art,Maia Mack,Lana,2017,Watercolor and colored sharpie pens,9 × 12 in,,
From Priscilla Fowler Fine Art,Stephanie Serpick,A new fall 23 ,2018,Oil on panel,16 × 20 in,2018,3800
Available for sale from Priscilla Fowler Fine Art,David Baird,What He Has Bent #5,2020,Mixed media monotype,22 × 15 in,2020,1200
From Priscilla Fowler Fine Art,Scott Bauer,Fiesta,2020,Oil,16 × 20 in,2020,360
From Priscilla Fowler Fine Art,Wade Schuster,For Lease,2018,Oil on panel (framed: maple floater frame),20 × 16 in,2018,600
From Priscilla Fowler Fine Art,Maia Mack,Meadow,2017,Watercolor and colored sharpie pens,9 × 12 in,,
From Priscilla Fowler Fine Art,Maia Mack,Jorden,2017,Watercolor and colored sharpie pens,9 × 12 in,,
From Priscilla Fowler Fine Art,Katie Klemp,Staying Home,2020,Acrylic,12 × 12 in,2020,250
From Priscilla Fowler Fine Art,Katie Klemp,Sad Love,2020,Acrylic,10 × 10 in,2020,225
From Priscilla Fowler Fine Art,Maia Mack,Abigail,2017,Watercolor and colored sharpie pens,9 × 12 in,,
From Priscilla Fowler Fine Art,Wade Schuster,Waiting for the Bus,2018,Oil on stretched canvas,20 × 20 in,2018,500
From Priscilla Fowler Fine Art,Maia Mack,Kevin,2017,Watercolor and colored sharpie pens,9 × 12 in,,
From Priscilla Fowler Fine Art,Katie Klemp,BFFs,2020,Acrylic,8 × 8 in,2020,149
From Priscilla Fowler Fine Art,Wade Schuster,White Cross Drugs,2018,Oil on stretched canvas,36 × 24 in,2018,1100
From Priscilla Fowler Fine Art,Maia Mack,Triana,2016,Watercolor and colored sharpie pens,9 × 12 in,,
Available for sale from Priscilla Fowler Fine Art,Darien Fernandez,Puffin' Pigeon,2021,Printed on white jersey,12 × 8 in,2021,40
From Priscilla Fowler Fine Art,Katie Klemp,Don't Be Shty,2020,Acrylic,30 × 30 in,2020,1750
From Priscilla Fowler Fine Art,Cheryl Magellen,Prickly Blooms,2019,Oil on canvas,8 × 8 in,2019,190
From Priscilla Fowler Fine Art,David Baird,Reaping the Whirlwind 5,2020,Acrylic/mixed media,7 × 5 in,2020,215
Available for sale from Priscilla Fowler Fine Art,Julian Eusebio,Feeding Koi,2020,Oil on Canvas,30 × 48 in,2020,4320
From Priscilla Fowler Fine Art,Katie Klemp,Green Flows Through,2020,Acrylic,8 × 8 in,2020,149
From Priscilla Fowler Fine Art,Becca Schwartz,Binghamton 3,2016,"Digital photographs, printed on luster paper",10 × 10 in,2016,115
From Priscilla Fowler Fine Art,Joseph Watson,Shady Lady,2020,Acrylic on canvas,11 × 9 in,2020,275
From Priscilla Fowler Fine Art,Trevor Ganske,Window Seat,2020,Acrylic on Wood Panel,17 × 12 in,2020,350
From Priscilla Fowler Fine Art,Stephanie Serpick,A New fall 13,2018,Oil on panel,16 × 20 in,2018,3800
From Priscilla Fowler Fine Art,Katie Klemp,Pool Party,2020,Acrylic,12 × 12 in,2020,250
From Priscilla Fowler Fine Art,Katie Klemp,Early Morning Bliss,2020,Acrylic,12 × 16 in,2020,350
From Priscilla Fowler Fine Art,David Baird,Reaping the Whirlwind 4,2020,Acrylic/mixed media,7 × 5 in,2020,215
From Priscilla Fowler Fine Art,3 Baad Sheep,Kiss Me Like You Mean It,2017,Mixed media,17 × 18 in,2017,400
Available for sale from Priscilla Fowler Fine Art,David Baird,Finding the Way (set of 9),2020,Mixed media on paper,17 × 13 in,2020,215
From Priscilla Fowler Fine Art,Maia Mack,Lelia,2017,Watercolor and colored sharpie pens,9 × 12 in,,
From Priscilla Fowler Fine Art,Wade Schuster,Shelter from the Storm,2020,Oil on canvas,20 × 20 in,2020,700
From Priscilla Fowler Fine Art,Maia Mack,Paola,2017,Watercolor and colored sharpie pens,9 × 12 in,,
From Priscilla Fowler Fine Art,Ken Farkash,Kneeling Woman,2019,Enamel and steel on wood panel,14 × 9 in,2019,350
From Priscilla Fowler Fine Art,Darien Fernandez,Social Distancing,2020,Spray paint stencil and oil on canvas,54 × 60 in,2020,7050
From Priscilla Fowler Fine Art,Chelsea Rust,Fresh Breath,2016,Oil on Canvas,42 × 32 in,,
From Priscilla Fowler Fine Art,Katie Klemp,Social Distancing,2019,Acrylic,12 × 16 in,2019,350
From Priscilla Fowler Fine Art,Ruben Permel,Alone in the Universe 1,2020,Acrylic with collage on canvas,12 × 12 in,2020,65
From Priscilla Fowler Fine Art,David Baird,Reaping the Whirlwind 2,2020,Acrylic/mixed media,7 × 5 in,2020,215
From Priscilla Fowler Fine Art,Cheryl Magellen,Art Square,2020,Acrylic on canvas paper,8 × 10 in,2020,170
Available for sale from Priscilla Fowler Fine Art,José M. Fontaiña,Allez les Bleus!,2018,Acrylic on gessobord,24 × 36 in,2018,4500
Available for sale from Priscilla Fowler Fine Art,Rebekah Andrade,Constructed 7,2019,Acrylic and colored pencil on canvas,40 × 34 in,2019,2220
Available for sale from Priscilla Fowler Fine Art,Donald Corpier Starr,Mr Berger,2018,Ink,20 × 30 in,2018,1855
Available for sale from Priscilla Fowler Fine Art,3 Baad Sheep,Only One Chance,2017,Mixed media,16 × 27 in,2017,340
Available for sale from Priscilla Fowler Fine Art,William H. Thielen,Untitled No 661 (gone to seed),2014,Acrylic on canvas and wood,70 × 58 in,2014,7000
Available for sale from Priscilla Fowler Fine Art,Rosanne Giacomini,Remnants,2018,Natural materials,49 × 24 in,2018,1325
Available for sale from Priscilla Fowler Fine Art,David Baird,Hot Mess #3,2019,Acrylic on Paper,17 × 13 in,2019,215
Available for sale from Priscilla Fowler Fine Art,Rebekah Andrade,Constructed 1,2019,Acrylic and Colored Pencil on Canvas,22 × 20 in,2019,1260
Available for sale from Priscilla Fowler Fine Art,Rebekah Andrade,Constructed 3,2019,Acrylic and colored pencil on canvas,22 × 20 in,2019,1260
Available for sale from Priscilla Fowler Fine Art,Rosanne Giacomini,Dancing with the Plankton,2014,Natural materials,38 × 26 in,2014,995
Available for sale from Priscilla Fowler Fine Art,Miss Julia Grey,Lorus #7,2019,Giclee,20 × 30 in,2019,900
Available for sale from Priscilla Fowler Fine Art,Miss Julia Grey,Lorus #3,2019,Giclee,10 × 15 in,2019,300
Available for sale from Priscilla Fowler Fine Art,David Neufeld,Many-eyed,2020,Printed on archival paper,24 × 18 in,2020,850
Available for sale from Priscilla Fowler Fine Art,David Baird,For the Birds Series #4,2019,Mixed media collage on white substrate,17 × 13 in,2019,215
Available for sale from Priscilla Fowler Fine Art,Robynn Smith,Chex,2005,Monotype/Chine Colle,24 × 18 in,2005,500
Available for sale from Priscilla Fowler Fine Art,Brian Hoover,Pentagram,2016,Oil on board,48 × 24 in,2016,3000
Available for sale from Priscilla Fowler Fine Art,José M. Fontaiña,Feminine Touch,2019,Acrylic on gessobord,24 × 30 in,2019,4500
Available for sale from Priscilla Fowler Fine Art,Brian Hoover,Wraiths of Miller House,2010,Oil with gold leaf on board,72 × 36 in,2010,6000
From Priscilla Fowler Fine Art,José M. Fontaiña,Caught on Camera,2018,Acrylic on gessobord,30 × 30 in,2018,4000
Available for sale from Priscilla Fowler Fine Art,Ed Meese,Pond,2009,Painting on Paper,14 × 22 in,2009,850
Available for sale from Priscilla Fowler Fine Art,Katie Klemp,Aberration,2007,Oil on canvas,24 × 36 in,2007,975
Available for sale from Priscilla Fowler Fine Art,Cheryl Magellen,Giant Boulders,2022,Acrylic on panel,12 × 12 in,2022,575
Available for sale from Priscilla Fowler Fine Art,Michael Scott Richardson,Woman with Hat,2020,Mixed media on canvas,24 × 18 in,2020,450
Available for sale from Priscilla Fowler Fine Art,Alexander Sky,MesoAmerican Memory,2019,Mixed media on canvas,36 × 36 in,2019,2000
Available for sale from Priscilla Fowler Fine Art,Michael Scott Richardson,The Cost of Good,2018,Mixed media on canvas,36 × 36 in,2018,1050
Available for sale from Priscilla Fowler Fine Art,PWOZ,O,2019,Acrylic and spray paint on canvas,44 × 30 in,2019,1400
From Priscilla Fowler Fine Art,Ruben Permel,The Ledge,2020,Acrylic on canvas,36 × 24 in,2020,150
Available for sale from Priscilla Fowler Fine Art,PWOZ,W,2019,Acrylic and spray paint on canvas,44 × 33 in,2019,1400
Available for sale from Priscilla Fowler Fine Art,Anne Hoff,Circuitous Cycles,2019,Stone and polymer lithograph on paper,15 × 15 in,2019,150
Available for sale from Priscilla Fowler Fine Art,Don Lyle,Portrait of Two Young Men,2020,Acrylic on panel,30 × 28 in,2020,400
Available for sale from Priscilla Fowler Fine Art,Brian Hoover,Out of the Woods,2017,Oil on board,24 × 24 in,2017,2500
Available for sale from Priscilla Fowler Fine Art,Brian Hoover,Dream of the Shepherdess's Ghost,2018,Oil on board,34 × 24 in,2018,3000
Available for sale from Priscilla Fowler Fine Art,Virginia Derryberry,Sol and Luna Have a Conversation,2015,Oil on canvas,84 × 60 in,2015,7000
Available for sale from Priscilla Fowler Fine Art,Katie Klemp,Brunch,2019,Acrylic,16 × 20 in,2019,550
Available for sale from Priscilla Fowler Fine Art,Scott Bauer,Sunday Project,2012,Acrylic on Canvas,36 × 48 in,2012,3500
From Priscilla Fowler Fine Art,Katie Klemp,Family Reunion,2020,Acrylic,24 × 24 in,2020,1150
Available for sale from Priscilla Fowler Fine Art,Brian Hoover,Sleeping at the Louvre Frozen in Flight,2020,Oil on board,24 × 12 in,2020,1200
Available for sale from Priscilla Fowler Fine Art,David Baird,Whirling Wheel (set of 9),2020,Mixed media on paper,17 × 13 in,2020,215
Available for sale from Priscilla Fowler Fine Art,Virginia Derryberry,At the Eclipse,2017,Oil on canvas,60 × 40 in,2017,4500
Available for sale from Priscilla Fowler Fine Art,William H. Thielen,Untitled No 189 (looking for rhyme or reason),2002,Acrylic on paper,29 × 23 in,2002,3000
Available for sale from Priscilla Fowler Fine Art,Daniel Mauk,Kitty,2021,Oil on paper,11 × 8 in,2021,500
Available for sale from Priscilla Fowler Fine Art,Joseph Watson,The Main Street,2018,Acrylic on Canvas,18 × 36 in,2018,2500
Available for sale from Priscilla Fowler Fine Art,Dr. R,Creating a Dream; Nouveau avian Pythagorum,2018,"Acrylic, Oil, and Spray Paint",48 × 48 in,2018,3300
Available for sale from Priscilla Fowler Fine Art,3 Baad Sheep,Laugh Again Punk,2010,Mixed media,31 × 29 in,2010,6000
Available for sale from Priscilla Fowler Fine Art,Cheryl Magellen,Desert Icon,2022,Acrylic on panel,12 × 12 in,2022,575
Available for sale from Priscilla Fowler Fine Art,Scott Bauer,'Preciate it Man!,2019,Acrylic on Canvas,36 × 48 in,2019,3400
Available for sale from Priscilla Fowler Fine Art,David Baird,Lament #8,2021,Mixed media on paper,17 × 13 in,2021,220
Available for sale from Priscilla Fowler Fine Art,Don Lyle,Harvest,2022,Acrylic on hard board,25 × 23 in,2022,700
Available for sale from Priscilla Fowler Fine Art,Scott Bauer,I Will Follow You Anywhere,2019,Acrylic on Canvas,36 × 48 in,2019,3400
Available for sale from Priscilla Fowler Fine Art,Scott Bauer,We're Stronger Together,2019,Acrylic on Canvas,48 × 60 in,2019,5700
Available for sale from Priscilla Fowler Fine Art,Dr. R,Cybernetic Metamorphsis,2021,"Acrylic, Spray Paint and 24 kt Gold Leaf",40 × 30 in,2021,3100
Available for sale from Priscilla Fowler Fine Art,Virginia Derryberry,Larkin,2019,Oil on canvas,40 × 30 in,2019,3000
Available for sale from Priscilla Fowler Fine Art,Scott Bauer,Live and Let Live,2019,Acrylic on Canvas,48 × 48 in,2019,4600
Available for sale from Priscilla Fowler Fine Art,Scott Bauer,Area 51,2021,Oil on Canvas,36 × 48 in,2021,3450
Available for sale from Priscilla Fowler Fine Art,Scott Bauer,You Have a Brain,2019,Acrylic on Canvas,30 × 30 in,2019,1800
Available for sale from Priscilla Fowler Fine Art,Scott Bauer,Purple Haze Too,2011,Acrylic on Canvas,36 × 48 in,2011,3400
Available for sale from Priscilla Fowler Fine Art,Scott Bauer,Mechanica III,2013,Acrylic on Canvas,48 × 48 in,2013,4600
Available for sale from Priscilla Fowler Fine Art,Daniel Mauk,Wild Horse GC: Early Morning ,2022,Oil on paper,13 × 16 in,2022,500
Available for sale from Priscilla Fowler Fine Art,Scott Bauer,From Nothing Comes Everything,2011,Acrylic on Canvas,48 × 60 in,2011,5700
Available for sale from Priscilla Fowler Fine Art,Scott Bauer,Homage,2012,Acrylic on Canvas,36 × 60 in,2012,4300
Available for sale from Priscilla Fowler Fine Art,Don Lyle,Sunflower,2022,"Acrylic, hardboard",20 × 24 in,2022,700
Available for sale from Priscilla Fowler Fine Art,Ed Meese,Floating,2020,Oil on Canvas,30 × 30 in,2020,1800
Available for sale from Priscilla Fowler Fine Art,Hayden Senter,Should've,2017,Graphite,9 × 12 in,2017,150
Available for sale from Priscilla Fowler Fine Art,Scott Bauer,Different II,2011,Acrylic on Canvas,18 × 24 in,2011,860
Available for sale from Priscilla Fowler Fine Art,Scott Bauer,Chained,2012,Acrylic on Canvas,30 × 48 in,2012,2800
Available for sale from Priscilla Fowler Fine Art,Lisa Polonet,Gazing Into The Next Realm,2022,Metal Print,24 × 16 in,2022,525
Available for sale from Priscilla Fowler Fine Art,Don Lyle,Four Small Houses,2022,"Acrylic, hardboard",20 × 24 in,2022,700
Available for sale from Priscilla Fowler Fine Art,Hayden Senter,He Who Waits Despears,2015,Lithograph,15 × 11 in,2015,200
Available for sale from Priscilla Fowler Fine Art,Priscilla Fowler,Nest (installation),2015,Ink on mylar,50 × 73 in,2015,6000
Available for sale from Priscilla Fowler Fine Art,Rosanne Giacomini,Angels,2014,Natural materials,25 × 18 in,2014,495
Available for sale from Priscilla Fowler Fine Art,Virginia Derryberry,Hand with Plum,2016,Oil on Canvas,8 × 10 in,2016,400
Available for sale from Priscilla Fowler Fine Art,Stephanie Serpick,A New Fall 6 ,2017,Oil on panel,16 × 20 in,2017,5000
Available for sale from Priscilla Fowler Fine Art,José M. Fontaiña,Painting on a Roll,2016,Acrylic on gessobord,24 × 36 in,2016,5000
Available for sale from Priscilla Fowler Fine Art,Ken Farkash,Maquette Study,2019,Enamel and steel on wood panel,10 × 8 in,2019,225
Available for sale from Priscilla Fowler Fine Art,3 Baad Sheep,Sometimes No is the Answer,2016,Mixed media,46 × 63 in,2016,1800
Available for sale from Priscilla Fowler Fine Art,David Neufeld,"Corrubedo, Galicia",2019,Printed on paper or aluminum,28 × 40 in,2019,750
Available for sale from Priscilla Fowler Fine Art,Eva Celin,Untitled,2017,Acrylic on canvas board,10 × 8 in,2017,400
Available for sale from Priscilla Fowler Fine Art,Virginia Derryberry,The Four Elements,2015,Oil on canvas,96 × 54 in,2015,8000
Available for sale from Priscilla Fowler Fine Art,David Baird,Tearing the Veil #9,2019,Mixed Media,19 × 26 in,2019,1200
